B10RD,CAMPH,TERPB,1.000,120,1.1333,CMAQ
B10RD,MYRC,OLI,1.000,120,1.1333,CMAQ
B10RD,MYRC,TERPB,1.000,120,1.1333,CMAQ
B10RD,ATERP,OLI,1.000,120,1.1333,CMAQ
B10RD,ATERP,TERPB,1.000,120,1.1333,CMAQ
B10RD,BPHE,OLI,1.000,120,1.1333,CMAQ
B10RD,BPHE,TERPB,1.000,120,1.1333,CMAQ
B10RD,SABI,OLI,1.000,120,1.1333,CMAQ
B10RD,SABI,TERPB,1.000,120,1.1333,CMAQ
B10RD,PCYM,OLI,1.000,120,1.1333,CMAQ
B10RD,PCYM,TERPB,1.000,120,1.1333,CMAQ
B10RD,OCIM,OLI,1.000,120,1.1333,CMAQ
B10RD,OCIM,TERPB,1.000,120,1.1333,CMAQ
B10RD,ATHU,OLI,1.000,120,1.1333,CMAQ
B10RD,ATHU,TERPB,1.000,120,1.1333,CMAQ
B10RD,TRPO,OLI,1.000,120,1.1333,CMAQ
B10RD,TRPO,TERPB,1.000,120,1.1333,CMAQ
B10RD,GTERP,OLI,1.000,120,1.1333,CMAQ
B10RD,GTERP,TERPB,1.000,120,1.1333,CMAQ
B10RD,METH,HC3,0.404,12,1.0773,CMAQ
B10RD,ETHE,OL2,1.000,24,1.1667,CMAQ
B10RD,PROPE,OLT,1.000,36,1.1667,CMAQ
B10RD,ETHO,HC3,1.215,24,2.3288,CMAQ
B10RD,ACET,KET,0.253,36,0.4076,CMAQ
B10RD,HEXA,ALD,1.000,72,1.3611,CMAQ
B10RD,HEXE,OLT,1.000,72,1.3889,CMAQ
B10RD,HEXY,OLT,1.000,96,1.4792,CMAQ
B10RD,FORM,HCHO,1.000,12,2.5000,CMAQ
B10RD,ACTALD,ALD,1.000,24,1.8333,CMAQ
B10RD,BUTE,OLI,1.000,48,1.1667,CMAQ
B10RD,ETHA,ETH,1.000,24,1.2500,CMAQ
B10RD,FORACD,ORA2,1.000,12,3.8333,CMAQ
B10RD,ACTACD,ORA2,1.000,24,2.5000,CMAQ
B10RD,BUTO,KET,1.000,48,1.4583,CMAQ
B10RD,CO,CO,1.000,12,2.3333,CMAQ
B10RD,ORVOC,OLI,0.100,120,0.1133,CMAQ
B10RD,ORVOC,HC3,0.850,120,0.9633,CMAQ
B10RD,ORVOC,NR,0.050,120,0.0567,CMAQ
