695,Ag, 0.074
292,Al, 0.889
298,As, 0.427
300,Ba, 0.117
329,Ca, 0.399
328,Cd, 0.142
1861,Ce, 0.2
1165,Co, 0.339
347,Cr, 0.692
380,Cu, 0.252
488,Fe, 0.358
468,Ga, 0.344
528,Hg, 0.06
487,In, 0.209
669,K, 0.205
519,La, 0.173
525,Mg, 0.658
526,Mn, 0.631
586,Mo, 0.417
696,Na, 0.348
612,Ni, 0.273
666,P, 1.033
520,Pb, 0.116
649,Pd, 0.226
689,Rb, 0.094
296,Sb, 0.263
693,Se, 0.405
694,Si, 1.139
714,Sn, 0.202
697,Sr, 0.183
715,Ti, 0.669
767,V, 0.785
778,Zn, 0.245
779,Zr, 0.351
