SAPRC07T,PRPE,3
SAPRC07T,PXYL,8
SAPRC07T,RCHO,3
SAPRC07T,RNO3,6
SAPRC07T,SESQ,15
SAPRC07T,TERP,10
SAPRC07T,TOLU,7
SAPRC99,ACET,3
SAPRC99,ALK1,2
SAPRC99,ALK2,3
SAPRC99,ALK3,4
SAPRC99,ALK4,5
SAPRC99,ALK5,8
SAPRC99,ARO1,7
SAPRC99,ARO2,9
SAPRC99,BACL,4
SAPRC99,BALD,7
SAPRC99,CCHO,2
SAPRC99,CH4,1
SAPRC99,CRES,7
SAPRC99,ETHE,2
SAPRC99,GLY,2
SAPRC99,HCHO,1
SAPRC99,IPRD,5
SAPRC99,ISOP,5
SAPRC99,IVOC,12
SAPRC99,MACR,4
SAPRC99,MEK,4
SAPRC99,MEOH,1
SAPRC99,MGLY,3
SAPRC99,MVK,4
SAPRC99,NROG,2
SAPRC99,NVOL,18
SAPRC99,OLE1,5
SAPRC99,OLE2,5
SAPRC99,PHEN,6
SAPRC99,PRD2,6
SAPRC99,RCHO,3
SAPRC99,TERP,10
SAPRC99B,AACD,2
SAPRC99B,ACET,3
SAPRC99B,ALK1,2
SAPRC99B,ALK2,3
SAPRC99B,ALK3,4
SAPRC99B,ALK4,5
SAPRC99B,ALK5,8
SAPRC99B,ARO1,7
SAPRC99B,ARO2,9
SAPRC99B,BACL,4
SAPRC99B,BALD,7
SAPRC99B,CCHO,2
SAPRC99B,CH4,1
SAPRC99B,CRES,7
SAPRC99B,ETHE,2
SAPRC99B,FACD,1
SAPRC99B,GLY,2
SAPRC99B,HCHO,1
SAPRC99B,IPRD,5
SAPRC99B,ISOP,5
SAPRC99B,IVOC,12
SAPRC99B,MACR,4
SAPRC99B,MEK,4
SAPRC99B,MEOH,1
SAPRC99B,MGLY,3
SAPRC99B,MVK,4
SAPRC99B,NROG,2
SAPRC99B,NVOL,18
SAPRC99B,OLE1,5
SAPRC99B,OLE2,5
SAPRC99B,PACD,3
SAPRC99B,PHEN,6
SAPRC99B,PRD2,6
SAPRC99B,RCHO,3
SAPRC99B,TERP,10
SOA_CAMX45,NONSOA,1
SOA_CAMX45,TOLA,7
SOA_CAMX45,XYLA,8
SOA_CAMX45_SP99,NONSOA,1
SOA_CAMX45_SP99,TOLA,7
SOA_CAMX45_SP99,XYLA,9
SOA_CB6CAMX6P2,BNZA,6
SOA_CB6CAMX6P2,ISP,5
SOA_CB6CAMX6P2,NONSOA,1
SOA_CB6CAMX6P2,TOLA,7
SOA_CB6CAMX6P2,TRP,10
SOA_CB6CAMX6P2,XYLA,8
