CB6,1,PAR,3.0000
CB6,1,TOL,1.0000
CB6,2,PAR,11.0000
CB6,3,PAR,3.0000
CB6,3,TOL,1.0000
CB6,4,UNR,2.0000
CB6,5,UNR,2.0000
CB6,6,PAR,9.0000
CB6,6,UNR,1.0000
CB6,7,UNR,2.0000
CB6,8,PAR,8.0000
CB6,8,UNR,1.0000
CB6,9,PAR,7.0000
CB6,9,UNR,1.0000
CB6,10,PAR,9.0000
CB6,10,UNR,1.0000
CB6,11,PAR,9.0000
CB6,11,UNR,1.0000
CB6,12,PAR,8.0000
CB6,12,UNR,1.0000
CB6,13,PAR,7.0000
CB6,13,UNR,1.0000
CB6,14,PAR,8.0000
CB6,14,UNR,1.0000
CB6,15,PAR,1.0000
CB6,15,UNR,1.0000
CB6,16,UNR,2.0000
CB6,17,PAR,2.0000
CB6,18,IVOC,1.0000
CB6,19,PAR,7.0000
CB6,19,UNR,1.0000
CB6,20,PAR,6.0000
CB6,20,UNR,1.0000
CB6,21,PAR,7.0000
CB6,21,UNR,1.0000
CB6,22,IVOC,1.0000
CB6,23,IVOC,1.0000
CB6,24,IVOC,1.0000
CB6,25,PAR,1.0000
CB6,25,XYL,1.0000
CB6,26,PAR,9.0000
CB6,27,PAR,8.0000
CB6,28,IVOC,1.0000
CB6,29,IVOC,1.0000
CB6,30,PAR,1.0000
CB6,30,XYL,1.0000
CB6,31,PAR,8.0000
CB6,32,OLE,1.0000
CB6,32,PAR,6.0000
CB6,33,IOLE,1.0000
CB6,34,PAR,1.0000
CB6,34,UNR,2.0000
CB6,35,PAR,10.0000
CB6,35,UNR,1.0000
CB6,36,PAR,2.0000
CB6,36,XYL,1.0000
CB6,37,PAR,2.0000
CB6,37,XYL,1.0000
CB6,38,PAR,10.0000
CB6,39,PAR,2.0000
CB6,39,XYL,1.0000
CB6,40,PAR,7.0000
CB6,41,PAR,4.0000
CB6,42,IOLE,0.7500
CB6,43,IVOC,1.0000
CB6,44,PAR,1.0000
CB6,44,XYL,1.0000
CB6,45,PAR,9.0000
